Date,Tested_Raw,Positive_Raw,Recovered_Raw,Died_Raw,Hospitalizations_Raw
2020-02-22,2,0,0,0,0
2020-02-24,5,0,0,0,0
2020-02-25,3,0,0,0,0
2020-02-26,6,0,0,0,0
2020-02-27,7,0,0,0,0
2020-02-28,8,0,0,0,0
2020-02-29,2,0,0,0,0
2020-03-02,4,0,0,0,0
2020-03-03,7,0,0,0,0
2020-03-04,8,0,0,0,0
2020-03-05,1,0,0,0,0
2020-03-06,4,0,0,0,0
2020-03-09,5,0,0,0,0
2020-03-10,14,0,0,0,0
2020-03-11,7,0,0,0,0
2020-03-12,11,0,0,0,0
2020-03-13,26,2,0,0,0
2020-03-14,99,3,0,0,0
2020-03-15,27,8,0,0,0
2020-03-16,24,3,0,0,0
2020-03-17,13,3,0,0,0
2020-03-18,35,1,0,0,0
2020-03-19,21,1,0,0,0
2020-03-20,77,3,0,0,0
2020-03-21,150,7,0,0,0
2020-03-22,10,2,0,1,0
2020-03-23,113,28,0,0,0
2020-03-24,42,2,0,0,0
2020-03-25,34,8,0,0,28
2020-03-26,119,15,1,0,28
2020-03-27,106,2,0,0,32
2020-03-28,46,3,0,0,
2020-03-29,45,3,0,0,37
2020-03-30,69,12,0,0,
2020-03-31,116,6,5,0,40
2020-04-01,113,13,4,0,43
2020-04-02,120,1,0,0,44
2020-04-03,243,9,6,0,43
2020-04-04,128,5,7,0,
2020-04-05,93,5,0,0,
2020-04-06,129,20,1,2,40
2020-04-07,259,19,6,2,47
2020-04-08,218,40,7,1,50
2020-04-09,117,3,1,1,
2020-04-10,189,23,14,0,41
2020-04-11,130,33,6,0,
2020-04-12,250,79,1,0,
2020-04-13,154,15,4,1,
2020-04-14,137,10,3,0,54
2020-04-15,172,36,5,1,53
2020-04-16,195,26,8,2,63
2020-04-17,209,31,5,1,52
2020-04-18,242,30,9,0,
2020-04-19,294,51,9,0,
2020-04-20,353,37,21,3,
2020-04-21,191,6,5,0,55
2020-04-22,172,26,10,3,53
2020-04-23,255,39,21,1,
2020-04-24,263,34,3,0,48
2020-04-25,291,28,3,1,
2020-04-26,297,32,1,1,
2020-04-27,225,17,35,1,55
2020-04-28,250,10,31,0,50
2020-04-29,225,9,17,0,36
2020-04-30,242,7,22,0,33
2020-05-01,221,7,27,0,
2020-05-02,230,10,38,0,
2020-05-03,412,28,45,3,
2020-05-04,254,4,22,1,36
2020-05-05,220,1,87,0,33
2020-05-06,324,4,43,0,15
2020-05-07,229,1,28,1,12
2020-05-08,243,1,61,1,8
2020-05-09,177,8,31,0,8
2020-05-10,200,14,2,0,9
2020-05-11,197,11,2,0,12
2020-05-12,257,24,14,1,12
2020-05-13,255,8,0,0,12
2020-05-14,300,18,19,0,11
2020-05-15,236,10,1,0,12
2020-05-16,407,23,22,0,12
2020-05-17,202,7,23,0,10
2020-05-18,200,3,18,0,10
2020-05-19,211,1,15,0,7
2020-05-20,208,14,3,0,7
2020-05-21,145,1,0,0,8
2020-05-22,267,21,10,0,9
2020-05-23,306,7,3,0,9
2020-05-24,138,0,4,0,9
2020-05-25,243,6,2,1,9
2020-05-26,220,9,3,0,9
2020-05-27,267,1,7,0,9
2020-05-28,332,4,19,0,8
2020-05-29,311,12,9,0,9
2020-05-30,220,6,12,0,8
2020-05-31,113,13,2,0,10
2020-06-1,172,27,0,0,9
2020-06-02,193,13,4,0,9
2020-06-03,253,19,24,0,9
2020-06-04,294,5,3,0,9
2020-06-05,297,11,2,0,11
2020-06-06,201,36,8,1,11
2020-06-07,296,40,6,0,11
2020-06-08,231,29,22,0,20
2020-06-09,294,6,0,0,23
2020-06-10,280,29,1,0,23
2020-06-11,228,28,8,0,31
2020-06-12,227,58,0,0,28
2020-06-13,313,53,7,1,32
2020-06-14,265,49,25,1,40
2020-06-15,385,129,10,0,57
2020-06-16,397,141,5,1,53
2020-06-17,437,77,0,0,59
2020-06-18,457,83,5,0,58
2020-06-19,456,82,7,0,65
2020-06-20,416,75,38,1,72
2020-06-21,439,96,29,1,83
2020-06-22,314,47,22,1,93
2020-06-23,302,52,39,1,101
2020-06-24,311,95,63,2,85
2020-06-25,281,69,75,2,106
2020-06-26,205,62,61,2,10
2020-06-27,207,96,87,4,97
2020-06-28,202,87,31,1,110
2020-06-29,231,122,81,0,112
2020-06-30,210,79,71,1,111
2020-07-01,266,113,67,3,111
2020-07-02,225,73,63,1,114
2020-07-03,304,114,117,3,142
2020-07-04,346,178,50,8,140
2020-07-05,324,152,28,9,140
2020-07-06,429,195,44,4,144
2020-07-07,365,183,57,3,144
2020-07-08,413,214,60,4,270
2020-07-09,401,207,32,8,268
2020-07-10,388,205,61,3,282
2020-07-11,419,203,71,4,301
2020-07-12,493,216,40,1,301
2020-07-13,424,187,103,6,301
2020-07-14,420,119,92,4,314
2020-07-15,486,132,83,6,303
2020-07-16,459,103,95,6,319
2020-07-17,562,145,171,6,498
2020-07-18,489,118,157,5,509
2020-07-19,485,142,101,4,564
